sample-id	island	species	pull	pos_neg
#q2:types	categorical	categorical	categorical	categorical
AK-N	Santa_Cruz	AK	N	negative
OS-2P-a	Santa_Cruz	OS	2P	positive
LY-2P-a	Santa_Cruz	LY	2P	positive
WO-N	Santa_Cruz	WO	N	negative
ES-1P	San_Cristobal	ES	1P	positive
AL-2P	Isabela	AL	2P	positive
PE-2P	San_Cristobal	PE	2P	positive
PL-1P-a	Floreana	PL	1P	positive
UN-N-a	Floreana	UN	N	negative
US-1P	Floreana	US	1P	positive
X13-1P	Pinta	X13	1P	positive
X2-1P	Isabela	X2	1P	positive
AK-1P-a	Santa_Cruz	AK	1P	positive
OS-2P-b	Santa_Cruz	OS	2P	positive
SI-N	Isabela	SI	N	negative
WO-1P	Santa_Cruz	WO	1P	positive
ES-2P	San_Cristobal	ES	2P	positive
AL-3P	Isabela	AL	3P	positive
PE-3P	San_Cristobal	PE	3P	positive
PL-1P-b	Floreana	PL	1P	positive
UN-N-b	Floreana	UN	N	negative
US-2P	Floreana	US	2P	positive
X13-2P	Pinta	X13	2P	positive
X2-1P2	Isabela	X2	1P	positive
AK-1P-b	Santa_Cruz	AK	1P	positive
AM-N	San_Cristobal	AM	N	negative
SI-1P	Isabela	SI	1P	positive
WO-2P	Santa_Cruz	WO	2P	positive
BU-N	San_Cristobal	BU	N	negative
NU-N-a	San_Cristobal	NU	N	negative
NX-N	Floreana	NX	N	negative
PL-2P-a	Floreana	PL	2P	positive
UN-1P-a	Floreana	UN	P	positive
DA-N	Santiago	DA	N	negative
X14-N	Champion	X14	N	negative
X2-2P	Isabela	X2	P	positive
AK-2P-a	Santa_Cruz	AK	P	positive
AM-1P	San_Cristobal	AM	P	positive
SI-2P	Isabela	SI	P	positive
WO-3P	Santa_Cruz	WO	P	positive
BU-1P	San_Cristobal	BU	P	positive
NU-1P-a	San_Cristobal	NU	P	positive
NX-1P-a	Floreana	NX	P	positive
PL-2P-b	Floreana	PL	P	positive
UN-1P-b	Floreana	UN	P	positive
DA-1P	Santiago	DA	P	positive
X14-1P	Champion	X14	P	positive
X2-2P2	Isabela	X2	2P	positive
AK-2P-b	Santa_Cruz	AK	2P	positive
AM-2P	San_Cristobal	AM	2P	positive
BA-N	San_Cristobal	BA	N	negative
