label,island
achatellinus,San_Cristobal
alethorhytidus,Santa_Cruz
Brantsnail,Isabela
Brownguys,Floreana
canaliferus2,San_Cristobal
caryonis,Floreana
cfbasiplicatus,San_Cristobal
cfhirsutus,Santa_Cruz
cfinvalidus,Floreana
cfnux,Floreana
cfwolfi,Santa_Cruz
chatoblack,Santa_Cruz
elaeodes,Isabela
hemaerodes,Isabela
invalidus2,Floreana
jacobi,Santiago
littleBlackGarrapatero,Santa_Cruz
perspectivus1,San_Cristobal
SC20070101,Santa_Cruz
sculpturatus2,Santiago
sculpturatus3,Santiago
SF15020101,Santa_Fe
SF15020103,Santa_Fe
SF15020104,Santa_Fe
simrothi2,Isabela
spnovAlcedo1,Isabela
spnovDarwin2,Isabela
spnovPinta1,Pinta
spnovVolcanWolf1,Isabela
spnovVolcanWolf2,Isabela
sulcatus,Floreana
wolfi2,Santa_Cruz
wolfi3,Santa_Cruz
