"","id","spp","Closest_sample_RAD_phylog_john"
"1","AL05-10","spp3","*I can try to parse these out, but will be quite difficult"
"2","AL05-23","spp3","*I can try to parse these out, but will be quite difficult"
"3","CA05--8","spp8","CA16_SUM_0102"
"4","CA05-05","spp8","CA16_SUM_0102"
"5","CA05-08","spp8","CA16_SUM_0102"
"6","CA05-09","spp8","CA16_SUM_0102"
"7","CA05-10","spp8","CA16_SUM_0102"
"8","CA16-03","spp8","CA16_SUM_0102"
"9","CH14","spp14","*We have no data on these…They are from Champion I think, not Marchena"
"10","CH14-02","spp14","*We have no data on these…They are from Champion I think, not Marchena"
"11","CH14-05","spp14","*We have no data on these…They are from Champion I think, not Marchena"
"12","CH14-06","spp14","*We have no data on these…They are from Champion I think, not Marchena"
"13","CH14-07","spp14","*We have no data on these…They are from Champion I think, not Marchena"
"14","CH14-08","spp14","*We have no data on these…They are from Champion I think, not Marchena"
"15","CH14-09","spp14","*We have no data on these…They are from Champion I think, not Marchena"
"16","CH14-13","spp14","*We have no data on these…They are from Champion I think, not Marchena"
"17","CH14-14","spp14","*We have no data on these…They are from Champion I think, not Marchena"
"18","CH14-15","spp14","*We have no data on these…They are from Champion I think, not Marchena"
"19","DA02","spp1","DA15_02_01_03"
"20","DA02-01","spp1","DA15_02_01_03"
"21","DA02-05","spp1","DA15_02_01_03"
"22","DA15-10","spp1","DA15_05_01_02"
"23","ES-02","snodgrassi","ES17_01_01_02"
"24","ES-02-03","snodgrassi","ES17_01_01_02"
"25","ES02","snodgrassi","ES17_01_01_02"
"26","ES17-01","snodgrassi","ES17_01_01_02"
"27","ES17-02","spp7","ES17_06_01_01"
"28","ES17-03","spp7","ES17_06_01_01"
"29","ES17-06","spp7","ES17_06_01_01"
"30","ES17-Peak","spp7","ES17_06_01_01"
"31","FA02","spp4","FA15_05_01_03"
"32","FL01-0233","invalidus","FL19_02_02_02"
"33","FL01-0234","invalidus","FL19_02_02_02"
"34","FL10-028","planospira","*extinct. No phylogenetic info"
"35","FL10-03","planospira","*extinct. No phylogenetic info"
"36","FL10-Pelado","planospira","*extinct. No phylogenetic info"
"37","FL14-01","ustulatus","FL14_17_02_04"
"38","FL14-02","ustulatus","FL14_17_02_04"
"39","FL14-05","invalidus","FL19_02_02_02"
"40","FL14-06","calvus","FL14_06_01_04"
"41","FL14-06","invalidus","FL19_02_02_02"
"42","FL14-06","nux","FL14_03_01_02"
"43","FL14-07","invalidus","FL19_02_02_02"
"44","FL14-08","invalidus","FL19_02_02_02"
"45","FL14-08","nux","FL14_03_01_02"
"46","FL14-09","invalidus","FL19_02_02_02"
"47","FL14-10","invalidus","FL19_02_02_02"
"48","FL14-11","invalidus","FL19_02_02_02"
"49","FL15","nux","FL18_14_01_02"
"50","FL15","planospira","*extinct. No phylogenetic info"
"51","FL15","ustulatus","FL14_17_02_04"
"52","FL15-14-16","nux","*I have no idea what this site is and since there are two non-sister nux lineages, cannot place in the tree"
"53","FL18-02","nux","FL18_14_01_02"
"54","FL18-02-01","unifasciatus","FL18_03_01_01"
"55","FL18-02-02","unifasciatus","FL18_03_01_01"
"56","FL18-07","invalidus","FL19_02_02_02"
"57","FL18-08","ustulatus","FL14_17_02_04"
"58","FL18-11","planospira","*extinct. No phylogenetic info"
"59","FL18-13","invalidus","FL19_02_02_02"
"60","FL18-16","planospira","*extinct. No phylogenetic info"
"61","FL19-06","calvus","FL14_06_01_04"
"62","FL19-17","invalidus","FL19_02_02_02"
"63","GA14","spp15","GD14_01_01_02"
"64","GA14-02","spp15","GD14_01_01_02"
"65","GA14-04","spp15","GD14_01_01_02"
"66","GA14-15","spp15","GD14_01_01_02"
"67","GA14-17","spp15","GD14_01_01_02"
"68","GA14-20","spp15","GD14_01_01_02"
"69","PA18-02","spp13","PA18_08_01_02"
"70","PA18-09","spp13","PA18_08_01_02"
"71","PA18-11","spp13","PA18_08_01_02"
"72","PA18-16","spp13","PA18_08_01_02"
"73","PI-005","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"74","PI-009","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"75","PI-05-1-5","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"76","PI-05-1-6","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"77","PI-14","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"78","PI-20-20","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"79","PI-allover","spp12","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"80","PI01-03","spp9","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"81","PI02-03","spp9","PI02_03_01_01"
"82","PI12-21-1-01","spp12","PI02_03_01_01"
"83","PI12-21-1-02","spp12","PI02_03_01_01"
"84","PI12-21-1-03","spp12","PI02_03_01_01"
"85","PI12-29-1-01","spp12","PI02_03_01_01"
"86","PI12-29-1-02","spp12","PI02_03_01_01"
"87","PI12-29-1-03","spp12","PI02_03_01_01"
"88","PI12-29-1-04","spp12","PI02_03_01_01"
"89","PI12-29-1-05","spp12","PI02_03_01_01"
"90","PI12-29-Frag","spp12","PI02_03_01_01"
"91","PI12-29-rats","spp12","PI02_03_01_01"
"92","PI14","spp9","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"93","PI14-Cliff","spp12","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"94","PI14-N2--5pv-01","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"95","PI14-N2--5pv-02","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"96","PI14-N2--5pv-04","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"97","PI14-N2--5pv-05","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"98","PI14-N2--5pv-06","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"99","PI14-N2--5pv-07","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"100","PI14-N2--5pv-08","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"101","PI14-N2--5pv-10","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"102","PI14-N2--5pv-11","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"103","PI14-N2--5pv-12","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"104","PI14-N2--5pv-13","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"105","PI14-N2--5pv-14","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"106","PI14-N2--5pv-15","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"107","PI14-N2--5pv-16","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"108","PI14-N2--5pv-17","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"109","PI14-N2--5pv-18","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"110","PI14-N2--5pv-19","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"111","PI14-N2--5pv-20","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"112","PI14-N2--5pv-9","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"113","PI14-masalto","spp12","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"114","PI14-near20","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"115","PI14-near30","spp11","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"116","PI14-near30","spp12","*Can't tell on these Pinzon specimens, don't line up with phylogeny specimens"
"117","RA12","rabidensis","RA14_02_01_01"
"118","RA12-07","rabidensis","RA14_02_01_01"
"119","SA-Bomba3","rugiferus","SA16_02_01_02"
"120","SA01-013","rugiferus","SA16_02_01_02"
"121","SA01-02","rugiferus","SA16_02_01_02"
