"","species_code","arboreal","terrestrial","total_hab"
"1",2,86,0,86
"2",4,6,0,6
"3",11,32,0,32
"4",12,4,0,4
"5",18,4,0,4
"6",20,55,0,55
"7",21,4,20,24
"8",23,2,19,21
"9",29,4,28,32
"10",30,54,0,54
"11",31,21,3,24
"12",33,20,6,26
"13",34,52,0,52
"14",38,29,0,29
"15",43,133,0,133
"16",44,2,44,46
"17",45,40,58,98
"18",47,2,144,146
"19",1,0,4,4
"20",3,0,27,27
"21",6,0,3,3
"22",7,0,34,34
"23",8,0,4,4
"24",10,0,55,55
"25",14,0,10,10
"26",15,0,6,6
"27",16,0,1,1
"28",19,0,48,48
"29",22,0,7,7
"30",24,0,71,71
"31",25,0,54,54
"32",26,0,20,20
"33",27,0,14,14
"34",28,0,20,20
"35",32,0,2,2
"36",35,0,7,7
"37",36,0,2,2
"38",37,0,9,9
"39",39,0,15,15
"40",40,0,8,8
"41",42,0,7,7
"42",46,0,4,4
