"","id","species","mismatch","species_code"
"1","SL14-01","amastroides",465.126939866667,3
"2","SL14-01","amastroides",-682.508198833333,3
"3","SL14-01","amastroides",1503.55630386667,3
"4","SL14-01","amastroides",1363.56132586667,3
"5","SL14-01","amastroides",-120.264870133333,3
"6","SL14-01","amastroides",-524.070807833333,3
"7","SL14-01","amastroides",332.948215866666,3
"8","SL14-01","amastroides",-673.948072133333,3
"9","SL14-01","amastroides",206.933091866666,3
"10","SL14-01","amastroides",-266.770247133333,3
"11","SL14-01","amastroides",-414.844232333333,3
"12","SL14-01","amastroides",-107.835859133333,3
"13","SL14-01","amastroides",-277.805951933333,3
"14","SL14-01","amastroides",-668.439111133333,3
"15","SL14-01","amastroides",-96.7782061333335,3
"16","SL14-01","amastroides",1210.97750786667,3
"17","SL14-01","amastroides",-656.902323433333,3
"18","SL14-01","amastroides",-512.882479333333,3
"19","SL14-01","amastroides",953.353952866667,3
"20","SL14-01","amastroides",-437.307450933333,3
"21","SL14-01","amastroides",-170.535014133333,3
"22","SL14-01","amastroides",392.142197866666,3
"23","SL14-01","amastroides",288.653989866667,3
"24","SL14-06","perspectivus",-365.25520682353,25
"25","SL14-06","perspectivus",-2474.34188862353,25
"26","SL14-06","perspectivus",-1720.13253882353,25
"27","SL14-06","perspectivus",-1685.24956282353,25
"28","SL14-06","perspectivus",-244.890531823529,25
"29","SL14-06","perspectivus",-1463.86377082353,25
"30","SL14-06","perspectivus",-702.936932823529,25
"31","SL14-06","perspectivus",-1382.95137982353,25
"32","SL14-06","perspectivus",-1106.38553682353,25
"33","SL14-06","perspectivus",-1321.91243782353,25
"34","SL14-06","perspectivus",-1261.87827482353,25
"35","SL14-06","perspectivus",-1619.71531182353,25
"36","SL14-06","perspectivus",-1380.22969882353,25
"37","SL14-06","perspectivus",-1255.16857482353,25
"38","SL14-06","perspectivus",-1497.85123582353,25
"39","SL14-06","perspectivus",-549.587185823529,25
"40","SL14-06","perspectivus",111.169224176471,25
"41","SL14-06","perspectivus",-2035.79043482353,25
"42","SL14-06","perspectivus",-1671.15951582353,25
"43","SL14-06","perspectivus",-1185.30244282353,25
"44","SL14-06","perspectivus",-1608.52883682353,25
"45","SL14-06","perspectivus",-1334.50278282353,25
"46","SL14-06","perspectivus",-1070.25367682353,25
"47","SL14-06","perspectivus",-1243.85079882353,25
"48","SL14-06","perspectivus",-1419.73321082353,25
"49","SL14-06","perspectivus",-1800.13526682353,25
"50","SL14-06","perspectivus",-1719.72722182353,25
"51","SL14-06","perspectivus",-1265.75488082353,25
"52","SL14-06","perspectivus",-1755.63572082353,25
"53","SL14-06","perspectivus",-1632.96741082353,25
"54","SL14-06","perspectivus",-1892.30619382353,25
"55","SL14-06","perspectivus",-1285.56087982353,25
"56","SL14-06","perspectivus",-936.096602823529,25
"57","SL14-06","perspectivus",-1143.29042482353,25
"58","SL14-06","perspectivus",NA,25
"59","SL14-06","perspectivus",NA,25
"60","SL14-06","perspectivus",NA,25
"61","SL14-06","perspectivus",NA,25
"62","SL14-06","perspectivus",NA,25
"63","SL14-06","perspectivus",NA,25
"64","SL14-06","chemnitzioides",-1003.45256682353,10
"65","SL14-06","chemnitzioides",-1193.09198482353,10
"66","SL14-06","chemnitzioides",-626.600837823529,10
"67","SL14-06","chemnitzioides",-960.75160682353,10
"68","SL14-06","chemnitzioides",-1205.13017882353,10
"69","SL14-06","chemnitzioides",-2292.3207896,10
"70","SL14-06","chemnitzioides",-1705.7244006,10
"71","SL14-06","chemnitzioides",-778.8962536,10
"72","SL14-06","chemnitzioides",-540.6838856,10
"73","SL14-06","chemnitzioides",-2009.1163436,10
"74","SL14-06","chemnitzioides",-2171.0151276,10
"75","SL14-06","chemnitzioides",-1452.5076296,10
"76","SL14-06","chemnitzioides",-1909.9088186,10
"77","SL14-06","chemnitzioides",-1755.5922816,10
"78","SL14-06","chemnitzioides",-1440.1654356,10
"79","SL14-06","chemnitzioides",-1970.0254486,10
"80","SL14-06","chemnitzioides",-1556.4020176,10
"81","SL14-06","chemnitzioides",-377.397631600001,10
"82","SL14-06","chemnitzioides",-1580.5518036,10
"83","SL14-06","chemnitzioides",-1332.6131466,10
"84","SL14-06","chemnitzioides",-1072.7452636,10
"85","SL14-06","chemnitzioides",-1852.1990086,10
"86","SL14-06","chemnitzioides",-790.993946823529,10
"87","SL14-06","chemnitzioides",-343.940130823529,10
"88","SL14-06","chemnitzioides",5073.52881217647,10
"89","SL14-07","chemnitzioides",-1568.7009666,10
"90","SL14-07","chemnitzioides",-3048.9530036,10
"91","SL14-07","chemnitzioides",-2098.7707136,10
"92","SL14-07","chemnitzioides",-3438.2212456,10
"93","SL14-07","chemnitzioides",-3239.5288146,10
"94","SL14-07","chemnitzioides",-3807.4675411,10
"95","SL14-07","chemnitzioides",-3047.3741186,10
"96","SL14-07","chemnitzioides",-2863.7664256,10
"97","SL14-07","chemnitzioides",-2005.1541506,10
"98","SL14-07","chemnitzioides",-2022.3078366,10
"99","SL14-07","chemnitzioides",-2114.9529706,10
"100","SL14-07","chemnitzioides",-1626.8864876,10
"101","SL14-07","chemnitzioides",-1935.9442576,10
"102","SL14-07","chemnitzioides",216.0971874,10
"103","SL14-07","chemnitzioides",-809.781848600001,10
"104","SL14-07","chemnitzioides",-2499.7370156,10
"105","SL14-07","chemnitzioides",-2918.4632906,10
"106","SL14-07","chemnitzioides",-2224.8809426,10
"107","SL14-07","chemnitzioides",-1860.6850266,10
"108","SL14-07","chemnitzioides",-2415.6821666,10
"109","SL14-07","chemnitzioides",-2658.7410996,10
"110","SL14-07","chemnitzioides",268.9985404,10
"111","SL14-07","chemnitzioides",-2501.9308536,10
"112","SL14-07","chemnitzioides",-1626.9147726,10
"113","SL14-07","chemnitzioides",-2524.9857646,10
"114","SL14-07","chemnitzioides",-1373.5426956,10
"115","SL14-07","chemnitzioides",-2977.4271046,10
"116","SL14-07","chemnitzioides",-2322.8092576,10
"117","SC14-01","reibischi",2409.34763486667,30
"118","SC14-02","reibischi",2657.88705813333,30
"119","SC14-02","reibischi",3624.76217213333,30
"120","SC14-02","reibischi",6322.18276813333,30
"121","SC14-02","reibischi",6634.51320013333,30
"122","SC14-02","reibischi",6062.21140213333,30
"123","SC14-02","reibischi",3220.86443013333,30
