"","species_code","arid","humid","total_veg"
"1",1,4,0,4
"2",2,0,5,5
"3",3,4,0,4
"4",4,6,0,6
"5",6,0,3,3
"6",7,4,0,4
"7",8,1,3,4
"8",10,2,0,2
"9",12,0,1,1
"10",14,1,0,1
"11",15,0,6,6
"12",16,1,0,1
"13",18,0,4,4
"14",19,0,10,10
"15",20,0,7,7
"16",21,0,4,4
"17",22,2,0,2
"18",23,0,2,2
"19",24,0,10,10
"20",25,13,1,14
"21",26,0,10,10
"22",29,4,0,4
"23",31,3,0,3
"24",32,2,0,2
"25",33,0,6,6
"26",34,0,14,14
"27",35,7,0,7
"28",36,2,0,2
"29",37,0,9,9
"30",38,6,0,6
"31",39,15,0,15
"32",40,0,8,8
"33",42,3,0,3
"34",43,0,20,20
"35",44,0,2,2
"36",45,0,9,9
"37",46,4,0,4
"38",47,4,0,4
