"","species_name","species_code","island","island_code","min_emergence","max_emergence","trustable_emergence","island_area","trustable_area","new_island_index","island_index_spp"
"1","hirsutus",14,"Santa_Cruz",12,1.1,2.3,"yes",987.09,"yes",10,10
"2","ochsneri",21,"Santa_Cruz",12,1.1,2.3,"yes",987.09,"yes",10,10
"3","eos",12,"Santa_Cruz",12,1.1,2.3,"yes",987.09,"yes",10,10
"4","tanneri",42,"Santa_Cruz",12,1.1,2.3,"yes",987.09,"yes",10,10
"5","reibischi",30,"Santa_Cruz",12,1.1,2.3,"yes",987.09,"yes",10,10
"6","wolfi",47,"Santa_Cruz",12,1.1,2.3,"yes",987.09,"yes",10,10
"7","akamatus",1,"Santa_Cruz",12,1.1,2.3,"yes",987.09,"yes",10,10
"8","amastroides",3,"San_Cristobal",11,2.4,4,"yes",559.98,"yes",9,9
"9","basiplicatus",5,"San_Cristobal",11,2.4,4,"yes",559.98,"yes",9,9
"10","eschariferus",13,"San_Cristobal",11,2.4,4,"yes",559.98,"yes",9,9
"11","darwini",11,"Santiago",14,0.8,1.4,"yes",577.1,"yes",12,12
"12","sculpturatus",33,"Santiago",14,0.8,1.4,"yes",577.1,"yes",12,12
"13","jacobinus",16,"Santiago",14,0.8,1.4,"yes",577.1,"yes",12,12
"14","perspectivus",25,"San_Cristobal",11,2.4,4,"yes",559.98,"yes",9,9
"15","nuciformis",18,"San_Cristobal",11,2.4,4,"yes",559.98,"yes",9,9
"16","bauri",6,"San_Cristobal",11,2.4,4,"yes",559.98,"yes",9,9
"17","chemnitzioides",10,"San_Cristobal",11,2.4,4,"yes",559.98,"yes",9,9
"18","sp. nov. Darwin",36,"Isabela",6,0.5,0.8,"yes",4726.57,"yes",5,5
"19","sp. nov. Wolf",39,"Isabela",6,0.5,0.8,"yes",4726.57,"yes",5,5
"20","pallidus",23,"Isabela",6,0.5,0.8,"yes",4726.57,"yes",5,5
"21","perrus",24,"Fernandina",2,0.032,0.06,"yes",649.11,"yes",2,2
"22","unifasciatus",44,"Floreana",3,1.5,2.3,"yes",178.03,"yes",3,3
"23","planospira",28,"Floreana",3,1.5,2.3,"yes",178.03,"yes",3,3
"24","rabidensis",29,"Rabida",10,1.3,1.6,"yes",5.13,"yes",8,8
"25","nux",20,"Floreana",3,1.5,2.3,"yes",178.03,"yes",3,3
"26","ventrosus",46,"Santa_Fe",13,2.9,3,"yes",25.15,"yes",11,11
"27","approximatus",4,"Espanola",1,3,3.5,"yes",64.11,"yes",1,1
"28","sp_nov_CerroAzul",40,"Isabela",6,0.5,0.8,"yes",4726.57,"yes",5,5
"29","pinzonensis",26,"Pinzon",9,1.3,1.7,"yes",18.07,"yes",7,7
"30","ustulatus",45,"Floreana",3,1.5,2.3,"yes",178.03,"yes",3,3
"31","cavagnaroi",9,"Santa_Cruz",12,1.1,2.3,"yes",987.09,"yes",10,10
"32","olla",22,"Santa_Cruz",12,1.1,2.3,"yes",987.09,"yes",10,10
"33","lycodus",17,"Santa_Cruz",12,1.1,2.3,"yes",987.09,"yes",10,10
"34","snodgrassi",35,"Espanola",1,3,3.5,"yes",64.11,"yes",1,1
"35","pinzonopsis",27,"Pinzon",9,1.3,1.7,"yes",18.07,"yes",7,7
"36","sp. nov. Pinzon",38,"Pinzon",9,1.3,1.7,"yes",18.07,"yes",7,7
"37","simrothi",34,"Isabela",6,0.5,0.8,"yes",4726.57,"yes",5,5
"38","tortuganus",43,"Isabela",6,0.5,0.8,"yes",4726.57,"yes",5,5
"39","albemarlensis",2,"Isabela",6,0.5,0.8,"yes",4726.57,"yes",5,5
"40","invalidus",15,"Floreana",3,1.5,2.3,"yes",178.03,"yes",3,3
"41","rugiferus",31,"Santiago",14,0.8,1.4,"yes",577.1,"yes",12,12
"42","calvus",7,"Floreana",3,1.5,2.3,"yes",178.03,"yes",3,3
"43","nucula",19,"San_Cristobal",11,2.4,4,"yes",559.98,"yes",9,9
"44","canaliferus",8,"San_Cristobal",11,2.4,4,"yes",559.98,"yes",9,9
"45","sp. nov. Pinta",37,"Pinta",8,0.7,0.8,"yes",60.33,"yes",6,6
"46","sp_nov_Champion",41,"Floreana",3,1.5,2.3,"yes",178.03,"yes",3,3
"47","rugulosus",32,"Gardner",4,0.8,1.4,"no",2.565,"no",4,4
