"","id","species","habitat","species_code"
"1","SL14-01","amastroides","terrestrial",8
"2","SL14-01","amastroides","terrestrial",8
"3","SL14-01","amastroides","terrestrial",8
"4","SL14-01","amastroides","terrestrial",8
"5","SL14-01","amastroides","terrestrial",8
"6","SL14-01","amastroides","terrestrial",8
"7","SL14-01","amastroides","terrestrial",8
"8","SL14-01","amastroides","terrestrial",8
"9","SL14-01","amastroides","terrestrial",8
"10","SL14-01","amastroides","terrestrial",8
"11","SL14-01","amastroides","terrestrial",8
"12","SL14-01","amastroides","terrestrial",8
"13","SL14-01","amastroides","terrestrial",8
"14","SL14-01","amastroides","terrestrial",8
"15","SL14-01","amastroides","terrestrial",8
"16","SL14-01","amastroides","terrestrial",8
"17","SL14-01","amastroides","terrestrial",8
"18","SL14-01","amastroides","terrestrial",8
"19","SL14-01","amastroides","terrestrial",8
"20","SL14-01","amastroides","terrestrial",8
"21","SL14-01","amastroides","terrestrial",8
"22","SL14-01","amastroides","terrestrial",8
"23","SL14-01","amastroides","terrestrial",8
"24","SL14-06","perspectivus","terrestrial",14
"25","SL14-06","perspectivus","terrestrial",14
"26","SL14-06","perspectivus","terrestrial",14
"27","SL14-06","perspectivus","terrestrial",14
"28","SL14-06","perspectivus","terrestrial",14
"29","SL14-06","perspectivus","terrestrial",14
"30","SL14-06","perspectivus","terrestrial",14
"31","SL14-06","perspectivus","terrestrial",14
"32","SL14-06","perspectivus","terrestrial",14
"33","SL14-06","perspectivus","terrestrial",14
"34","SL14-06","perspectivus","terrestrial",14
"35","SL14-06","perspectivus","terrestrial",14
"36","SL14-06","perspectivus","terrestrial",14
"37","SL14-06","perspectivus","terrestrial",14
"38","SL14-06","perspectivus","terrestrial",14
"39","SL14-06","perspectivus","terrestrial",14
"40","SL14-06","perspectivus","terrestrial",14
"41","SL14-06","perspectivus","terrestrial",14
"42","SL14-06","perspectivus","terrestrial",14
"43","SL14-06","perspectivus","terrestrial",14
"44","SL14-06","perspectivus","terrestrial",14
"45","SL14-06","perspectivus","terrestrial",14
"46","SL14-06","perspectivus","terrestrial",14
"47","SL14-06","perspectivus","terrestrial",14
"48","SL14-06","perspectivus","terrestrial",14
"49","SL14-06","perspectivus","terrestrial",14
"50","SL14-06","perspectivus","terrestrial",14
"51","SL14-06","perspectivus","terrestrial",14
"52","SL14-06","perspectivus","terrestrial",14
