"","id","species","nematode_count","species_code"
"1","sc03-40","hirsutus",1,1
"2","sc03-40","hirsutus",1,1
"3","sc03-40","hirsutus",1,1
"4","sc03-40","hirsutus",0,1
"5","sc03-40","hirsutus",0,1
"6","sc03-40","hirsutus",0,1
"7","sc03-40","hirsutus",0,1
"8","sc03-40","hirsutus",0,1
"9","sc03-35","hirsutus",0,1
"10","sc03-35","hirsutus",0,1
"11","sc03-35","hirsutus",0,1
"12","sc03-35","hirsutus",0,1
"13","sc03-63","hirsutus",10,1
"14","sc03-63","hirsutus",0,1
"15","sc03-63","hirsutus",0,1
"16","sc03-63","hirsutus",0,1
"17","sc03-69","hirsutus",0,1
"18","sc03-69","hirsutus",0,1
"19","sc03-69","hirsutus",0,1
"20","sc03-69","hirsutus",0,1
"21","sc03-69","hirsutus",0,1
"22","sc03-69","hirsutus",0,1
"23","sc03-69","hirsutus",0,1
"24","sc03-43","hirsutus",0,1
"25","sc03-43","hirsutus",0,1
"26","sc03-43","hirsutus",0,1
"27","sc03-43","hirsutus",0,1
"28","sc03-43","hirsutus",0,1
"29","sc03-43","hirsutus",0,1
"30","sc03-43","hirsutus",0,1
"31","sc03-43","hirsutus",0,1
"32","sc03-43","hirsutus",0,1
"33","sc03-43","hirsutus",0,1
"34","sc03-69","hirsutus",15,1
"35","sc03-69","hirsutus",0,1
"36","sc03-69","hirsutus",0,1
"37","sc03-46","hirsutus",0,1
"38","sc03-46","hirsutus",0,1
"39","sc03-67","hirsutus",0,1
"40","sc03-67","hirsutus",0,1
"41","sc03-67","hirsutus",0,1
"42","sc03-67","hirsutus",0,1
"43","sc03-70","hirsutus",1,1
"44","sc03-70","hirsutus",0,1
"45","sc03-70","hirsutus",0,1
"46","sc03-70","hirsutus",0,1
"47","sc03-66","hirsutus",0,1
"48","sc03-66","hirsutus",0,1
"49","sc03-66","hirsutus",0,1
"50","sc015","ochsneri",2,2
"51","sc015","ochsneri",0,2
"52","sc015-11","ochsneri",0,2
"53","sc015-11","ochsneri",0,2
"54","sc015-11","ochsneri",0,2
"55","sc15-07-017","ochsneri",5,2
