# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = full_model_commonspp_slopepos_load_model
# start_datetime = 2024-08-15 15:44:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/alexf/AppData/Local/Temp/RtmpWAfRcC/standata-3a98b0860b9.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/alexf/Desktop/PhD_Fuster-Calvo/naesiotus_nematodes/naesiotus_nematodes/model_object/full_model_commonspp_slopepos_load-202408151144-1-385206.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alexf/Desktop/PhD_Fuster-Calvo/naesiotus_nematodes/naesiotus_nematodes/model_object/full_model_commonspp_slopepos_load-profile-202408151144-1-1c11b9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --warn-pedantic --name=full_model_commonspp_slopepos_load_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,intercept,slope_bright,slope_arboreal_bright,slope_arboreal_load,slope_arid_bright,slope_arid_load,slope_age,slope_area,spp_effects.1,spp_effects.2,spp_effects.3,spp_effects.4,spp_effects.5,spp_effects.6,spp_effects.7,spp_effects.8,spp_effects.9,spp_effects.10,spp_effects.11,spp_effects.12,spp_effects.13,spp_effects.14,spp_effects.15,spp_effects.16,spp_effects.17,spp_effects.18,spp_effects.19,spp_effects.20,spp_effects.21,z_island_effects.1,z_island_effects.2,z_island_effects.3,z_island_effects.4,z_island_effects.5,z_island_effects.6,z_island_effects.7,z_island_effects.8,mu,sigma_bright,sigma_spp,sigma_islands,arboreal_prob_logit.1,arboreal_prob_logit.2,arboreal_prob_logit.3,arboreal_prob_logit.4,arboreal_prob_logit.5,arboreal_prob_logit.6,arboreal_prob_logit.7,arboreal_prob_logit.8,arboreal_prob_logit.9,arboreal_prob_logit.10,arboreal_prob_logit.11,arboreal_prob_logit.12,arboreal_prob_logit.13,arboreal_prob_logit.14,arboreal_prob_logit.15,arboreal_prob_logit.16,arboreal_prob_logit.17,arboreal_prob_logit.18,arboreal_prob_logit.19,arboreal_prob_logit.20,arboreal_prob_logit.21,arid_prob_logit.1,arid_prob_logit.2,arid_prob_logit.3,arid_prob_logit.4,arid_prob_logit.5,arid_prob_logit.6,arid_prob_logit.7,arid_prob_logit.8,arid_prob_logit.9,arid_prob_logit.10,arid_prob_logit.11,arid_prob_logit.12,arid_prob_logit.13,arid_prob_logit.14,arid_prob_logit.15,arid_prob_logit.16,arid_prob_logit.17,arid_prob_logit.18,arid_prob_logit.19,arid_prob_logit.20,arid_prob_logit.21,mu_arboreal,sd_arboreal,mu_arid,sd_arid,arboreal_prob.1,arboreal_prob.2,arboreal_prob.3,arboreal_prob.4,arboreal_prob.5,arboreal_prob.6,arboreal_prob.7,arboreal_prob.8,arboreal_prob.9,arboreal_prob.10,arboreal_prob.11,arboreal_prob.12,arboreal_prob.13,arboreal_prob.14,arboreal_prob.15,arboreal_prob.16,arboreal_prob.17,arboreal_prob.18,arboreal_prob.19,arboreal_prob.20,arboreal_prob.21,arid_prob.1,arid_prob.2,arid_prob.3,arid_prob.4,arid_prob.5,arid_prob.6,arid_prob.7,arid_prob.8,arid_prob.9,arid_prob.10,arid_prob.11,arid_prob.12,arid_prob.13,arid_prob.14,arid_prob.15,arid_prob.16,arid_prob.17,arid_prob.18,arid_prob.19,arid_prob.20,arid_prob.21,island_effects.1,island_effects.2,island_effects.3,island_effects.4,island_effects.5,island_effects.6,island_effects.7,island_effects.8
# Adaptation terminated
# Step size = 0.00462006
# Diagonal elements of inverse mass matrix:
# 0.907403, 0.0298051, 0.507142, 0.00991514, 0.662236, 0.00506368, 1.01585, 0.0375073, 0.0849133, 0.0552118, 0.0603732, 0.0744965, 0.0894949, 0.0540282, 0.0574521, 0.0759089, 0.0666545, 0.0794103, 0.0476586, 0.0528144, 0.116376, 0.0439347, 0.176058, 0.130877, 0.076412, 0.0669138, 0.113772, 0.0946976, 0.0844524, 0.753192, 0.639153, 0.693362, 0.592823, 0.931298, 0.796649, 0.967741, 0.73548, 2.35448, 0.000616474, 0.0376892, 0.968516, 1.01351, 1.01492, 0.950378, 0.365477, 0.808098, 1.06138, 0.898887, 0.754189, 0.103709, 0.567787, 0.293855, 1.0901, 1.06007, 0.0381264, 0.194115, 0.982368, 1.15052, 0.174629, 0.87885, 0.335012, 0.11433, 0.364603, 0.0341055, 0.0412473, 0.284344, 0.0467668, 0.0251836, 0.0209583, 0.175802, 0.051453, 0.469633, 0.0260142, 0.0381644, 0.111955, 0.0278777, 0.203999, 0.287577, 0.0889787, 0.257242, 0.0387303, 0.0426643, 0.040499, 0.495032, 0.0264475, 0.169358, 0.0377208
4508.9,0.852374,0.00462006,10,1023,0,-4470.3,0.426977,0.137845,1.06761,-1.50927,1.19278,-3.74934,-0.537498,0.225124,-1.65511,-0.438561,-0.55377,0.0888568,-0.371714,0.544921,0.720952,0.106423,0.597261,0.00923764,0.162949,0.408288,-0.149505,0.146228,1.0673,0.242851,0.0467641,-0.448597,0.109822,0.0341407,0.670241,-0.881832,0.651393,-0.67433,-0.406767,0.472371,1.71845,0.67709,0.965117,5.79775,0.371359,0.551129,0.175413,-2.98501,-4.97602,-2.93701,-2.95033,3.59506,-5.13043,-4.11909,4.45285,2.1718,4.22367,-3.52763,-4.22677,3.0146,-0.250075,-2.72246,-3.00786,-2.8314,-1.10865,-3.45394,1.81592,0.402368,2.55885,-0.143265,1.00451,-2.7685,-1.0034,-0.581173,-0.163111,-1.35967,-1.06904,-2.58218,0.0153442,0.123051,0.831559,-0.0365271,2.22292,-2.88329,1.4049,-3.2279,-0.180374,0.298299,-0.0888735,-0.609552,3.56168,-0.371528,1.52882,0.0481076,0.00685419,0.0503543,0.0497207,0.973275,0.00587926,0.0159992,0.988489,0.897689,0.985567,0.0285361,0.0143894,0.953229,0.437805,0.0616609,0.047072,0.055651,0.248122,0.0306515,0.860076,0.599257,0.928166,0.464245,0.731945,0.0590503,0.268274,0.358663,0.459312,0.204294,0.255586,0.0702944,0.503836,0.530724,0.696685,0.490869,0.902289,0.0529857,0.802961,0.038129,0.455028,0.574027,0.477796,-0.154685,0.114263,-0.118287,-0.0713524,0.0828602,0.30144,0.118771,0.169295
4507.25,0.958525,0.00462006,10,1023,0,-4471.9,0.537169,0.106043,1.06208,-1.45787,1.05787,-3.7933,-0.422189,0.237556,-1.5335,-0.445553,-0.486253,0.158415,-0.331732,0.549333,0.653632,0.154406,0.470323,0.0147261,0.142316,0.352927,-0.0915055,0.182583,1.19929,0.227612,0.000861726,-0.45806,0.165995,0.00736238,0.60838,-1.19473,0.570485,-0.706748,-0.343116,0.550199,1.81424,0.834248,0.838422,5.66745,0.368986,0.534003,0.134499,-3.20339,-4.41124,-2.94412,-2.83246,3.5654,-5.12227,-3.95305,4.47903,2.16536,4.17114,-3.35541,-4.10567,3.31886,-0.2362,-2.72854,-2.91504,-2.38285,-1.29181,-3.36652,1.81185,0.337373,2.52608,-0.160848,0.9815,-2.7429,-1.05798,-0.583968,-0.167243,-1.41648,-1.09938,-2.66612,0.0359351,0.205397,0.720775,-0.0328312,2.14735,-2.96666,1.40308,-3.15694,-0.15099,0.329292,-0.0946567,-0.840531,3.64474,-0.563985,1.59058,0.0390384,0.0119945,0.050015,0.0555949,0.972493,0.00592712,0.0188345,0.988783,0.897095,0.9848,0.0337186,0.0162119,0.96507,0.441223,0.0613099,0.0514153,0.0844899,0.215547,0.0333583,0.859586,0.583552,0.92595,0.459875,0.727406,0.0604887,0.257697,0.35802,0.458287,0.195214,0.249856,0.0650021,0.508983,0.551169,0.672778,0.491793,0.89542,0.0489549,0.802673,0.0408188,0.462324,0.581587,0.476353,-0.16069,0.0767297,-0.0950569,-0.0461488,0.0740012,0.244014,0.112206,0.112767
4504.32,0.998655,0.00462006,10,1023,0,-4461.93,-1.09034,0.325032,0.214682,-1.77152,0.571069,-3.82665,-0.641486,0.211996,-1.10771,-0.141513,-0.113032,-0.660199,-0.273774,-0.238988,1.02669,-0.399835,-0.0675038,-0.570174,-0.485957,-0.26539,0.405258,-0.16706,0.596953,0.0223189,-0.424294,-1.20911,-0.0677861,0.149572,0.492895,0.896001,-1.55081,-0.231487,-0.25239,-0.768543,-0.482681,0.430603,0.110259,6.9883,0.366507,0.629131,0.534268,-3.19878,-4.46381,-4.24507,-4.31861,2.50325,-5.06119,-2.7761,4.06793,2.14638,2.65209,-4.60008,-1.96873,1.14366,-0.395053,-1.06435,-2.64259,-2.54588,-2.64489,-2.87757,1.38445,1.29527,2.28262,-0.279342,0.843465,-2.45326,-1.48789,-0.526324,-0.560792,-2.49913,-1.22873,-3.58263,0.0696237,-0.0682793,1.23985,-0.224192,1.73923,-2.61362,1.08046,-2.0085,-0.437026,-0.158567,-0.760189,-2.05461,3.15946,-0.800023,1.36766,0.0392117,0.0113873,0.0141321,0.0131433,0.924369,0.00629807,0.0586295,0.983175,0.89533,0.93414,0.00995101,0.122525,0.758351,0.402501,0.256479,0.0664475,0.0727036,0.0663048,0.0532736,0.799704,0.785038,0.907427,0.430615,0.699194,0.0792003,0.184238,0.371375,0.363364,0.0759194,0.226404,0.0270504,0.517399,0.482937,0.775537,0.444185,0.850589,0.068267,0.746581,0.118314,0.39245,0.460441,0.318605,0.478705,-0.828546,-0.123676,-0.134844,-0.410608,-0.257881,0.230057,0.0589079
4515.48,0.999986,0.00462006,10,1023,0,-4468.98,-0.113962,0.335969,0.308807,-1.65326,0.440787,-4.21671,-1.2212,0.137236,-1.24903,-0.300788,-0.238999,-0.671196,-0.157657,-0.100986,0.640181,-0.0607564,0.266761,-0.346177,-0.533673,-0.525215,-0.0454406,-0.0358523,1.56746,0.0449922,-0.230569,-1.28523,0.0298597,0.0518603,0.41678,0.566973,-1.37784,-0.411987,0.742058,-0.687255,-0.874479,-1.53124,1.10728,7.84028,0.373184,0.644653,0.299922,-4.36164,-3.44487,-3.33453,-3.78794,3.63741,-4.5175,-3.13623,3.83006,2.01956,3.18472,-4.20562,-2.55987,-0.172811,-0.215251,-1.93296,-3.36391,-2.53758,-2.36089,-3.95429,1.59089,0.541482,2.65372,-0.450134,0.720583,-2.42497,-1.4033,-0.578142,-0.355893,-2.22587,-1.19368,-3.18984,-0.218945,-0.0115145,1.15965,-0.187814,1.37597,-2.40015,1.10841,-2.03527,-0.440834,-0.245823,-0.607292,-1.7562,2.43432,-0.596592,1.37184,0.0125967,0.0309222,0.0344054,0.0221409,0.974355,0.0107984,0.0416372,0.978753,0.882836,0.960255,0.0146924,0.0717665,0.456905,0.446394,0.126423,0.0334427,0.0732657,0.0862038,0.0188117,0.830742,0.632157,0.93424,0.389329,0.672735,0.0812883,0.197292,0.35936,0.411954,0.0974509,0.232601,0.03955,0.445481,0.497121,0.76127,0.453184,0.798343,0.0831612,0.751832,0.115549,0.391542,0.438852,0.352677,0.170048,-0.413244,-0.123564,0.22256,-0.206123,-0.262276,-0.459251,0.332098
4510.2,0.934515,0.00462006,10,1023,0,-4472.7,0.0737356,0.300359,0.416372,-1.66574,0.455211,-4.13468,-1.09609,0.143015,-1.23421,-0.361898,-0.274273,-0.631116,-0.182434,-0.112556,0.695429,-0.0346044,0.312211,-0.313713,-0.474219,-0.468584,-0.0534573,0.0181398,1.51819,0.0480328,-0.244601,-1.28465,0.00850763,0.183176,0.3746,0.343672,-1.63017,-0.492349,0.714264,-0.953434,-1.12777,-1.41841,1.07454,7.65666,0.376965,0.643532,0.225436,-4.37149,-3.44335,-3.30186,-3.65345,3.61283,-4.66504,-3.1397,3.93951,2.16817,3.44098,-4.12399,-2.34384,0.00653978,-0.232787,-1.88235,-3.59368,-3.0122,-2.20335,-3.69999,1.53124,0.552273,2.8059,-0.427718,0.738623,-2.46692,-1.42019,-0.479335,-0.307458,-2.18972,-1.07271,-2.98661,-0.216378,-0.0290728,1.18963,-0.20058,1.33403,-2.40464,1.19017,-2.12532,-0.419015,-0.306531,-0.617847,-1.67301,2.59811,-0.71561,1.31656,0.0124749,0.0309679,0.0355076,0.0252478,0.973733,0.009331,0.0414991,0.980914,0.897355,0.968961,0.0159222,0.0875564,0.501635,0.442065,0.132119,0.0267611,0.0468778,0.0994503,0.0241272,0.822188,0.634663,0.942994,0.394671,0.676695,0.0782102,0.194631,0.382409,0.423735,0.100678,0.254887,0.0480343,0.446116,0.492732,0.766675,0.450022,0.791506,0.0828198,0.766771,0.10666,0.396752,0.423962,0.350271,0.0774761,-0.3675,-0.110993,0.161021,-0.214939,-0.254239,-0.319762,0.242241
4516.17,0.936971,0.00462006,10,1023,0,-4468.65,-0.875801,0.102946,1.18803,-1.42868,0.35245,-3.76201,1.06254,0.293054,-1.11365,-0.0490221,-0.0049303,-0.223512,-0.62833,0.350251,0.914517,-0.215293,0.322064,-0.338074,0.151466,0.101035,-0.0536347,0.152938,0.0279342,-0.661323,0.477772,-0.784433,0.0417023,-0.324157,0.144554,-0.627126,-0.593505,-0.334351,-0.321082,0.0883332,1.27637,2.42059,0.447258,4.71939,0.374948,0.414831,0.559644,-1.9489,-4.62135,-4.20307,-2.30662,3.96688,-3.55932,-3.64344,5.04497,2.48144,3.90952,-3.60159,-2.59029,2.22636,-0.531742,-1.85718,-2.61141,-2.8168,-1.14556,-4.31797,1.44142,0.943082,2.58028,-0.125675,0.890621,-3.32828,-0.897199,-0.638281,-0.261201,-1.44126,-0.871909,-2.54348,-0.0788693,0.00409326,0.57192,-0.087203,2.12151,-3.19914,1.39424,-3.15793,-0.163301,0.464456,-0.324131,-0.658815,2.65679,-0.291024,1.61095,0.124673,0.00974368,0.0147295,0.0905763,0.981419,0.0276707,0.0254952,0.9936,0.922831,0.980344,0.0265559,0.0697657,0.902592,0.370111,0.135032,0.0684077,0.0564228,0.241302,0.0131517,0.808675,0.719722,0.929582,0.468622,0.709018,0.0346135,0.289626,0.345635,0.435068,0.19135,0.294857,0.0728658,0.480293,0.501023,0.639206,0.478213,0.892977,0.039198,0.801268,0.0407799,0.459265,0.614071,0.419669,-0.350967,-0.332152,-0.187118,-0.179692,0.0494352,0.714311,1.35467,0.250306
