# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = full_model_commonspp_slopepos_load_model
# start_datetime = 2024-08-15 15:44:56 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:/Users/alexf/AppData/Local/Temp/RtmpWAfRcC/standata-3a98b0860b9.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/alexf/Desktop/PhD_Fuster-Calvo/naesiotus_nematodes/naesiotus_nematodes/model_object/full_model_commonspp_slopepos_load-202408151144-4-385206.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alexf/Desktop/PhD_Fuster-Calvo/naesiotus_nematodes/naesiotus_nematodes/model_object/full_model_commonspp_slopepos_load-profile-202408151144-4-1c11b9.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --warn-pedantic --name=full_model_commonspp_slopepos_load_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,intercept,slope_bright,slope_arboreal_bright,slope_arboreal_load,slope_arid_bright,slope_arid_load,slope_age,slope_area,spp_effects.1,spp_effects.2,spp_effects.3,spp_effects.4,spp_effects.5,spp_effects.6,spp_effects.7,spp_effects.8,spp_effects.9,spp_effects.10,spp_effects.11,spp_effects.12,spp_effects.13,spp_effects.14,spp_effects.15,spp_effects.16,spp_effects.17,spp_effects.18,spp_effects.19,spp_effects.20,spp_effects.21,z_island_effects.1,z_island_effects.2,z_island_effects.3,z_island_effects.4,z_island_effects.5,z_island_effects.6,z_island_effects.7,z_island_effects.8,mu,sigma_bright,sigma_spp,sigma_islands,arboreal_prob_logit.1,arboreal_prob_logit.2,arboreal_prob_logit.3,arboreal_prob_logit.4,arboreal_prob_logit.5,arboreal_prob_logit.6,arboreal_prob_logit.7,arboreal_prob_logit.8,arboreal_prob_logit.9,arboreal_prob_logit.10,arboreal_prob_logit.11,arboreal_prob_logit.12,arboreal_prob_logit.13,arboreal_prob_logit.14,arboreal_prob_logit.15,arboreal_prob_logit.16,arboreal_prob_logit.17,arboreal_prob_logit.18,arboreal_prob_logit.19,arboreal_prob_logit.20,arboreal_prob_logit.21,arid_prob_logit.1,arid_prob_logit.2,arid_prob_logit.3,arid_prob_logit.4,arid_prob_logit.5,arid_prob_logit.6,arid_prob_logit.7,arid_prob_logit.8,arid_prob_logit.9,arid_prob_logit.10,arid_prob_logit.11,arid_prob_logit.12,arid_prob_logit.13,arid_prob_logit.14,arid_prob_logit.15,arid_prob_logit.16,arid_prob_logit.17,arid_prob_logit.18,arid_prob_logit.19,arid_prob_logit.20,arid_prob_logit.21,mu_arboreal,sd_arboreal,mu_arid,sd_arid,arboreal_prob.1,arboreal_prob.2,arboreal_prob.3,arboreal_prob.4,arboreal_prob.5,arboreal_prob.6,arboreal_prob.7,arboreal_prob.8,arboreal_prob.9,arboreal_prob.10,arboreal_prob.11,arboreal_prob.12,arboreal_prob.13,arboreal_prob.14,arboreal_prob.15,arboreal_prob.16,arboreal_prob.17,arboreal_prob.18,arboreal_prob.19,arboreal_prob.20,arboreal_prob.21,arid_prob.1,arid_prob.2,arid_prob.3,arid_prob.4,arid_prob.5,arid_prob.6,arid_prob.7,arid_prob.8,arid_prob.9,arid_prob.10,arid_prob.11,arid_prob.12,arid_prob.13,arid_prob.14,arid_prob.15,arid_prob.16,arid_prob.17,arid_prob.18,arid_prob.19,arid_prob.20,arid_prob.21,island_effects.1,island_effects.2,island_effects.3,island_effects.4,island_effects.5,island_effects.6,island_effects.7,island_effects.8
# Adaptation terminated
# Step size = 0.00379528
# Diagonal elements of inverse mass matrix:
# 0.782186, 0.0330515, 0.39926, 0.0109676, 0.550222, 0.00573737, 0.82949, 0.0381338, 0.0933447, 0.0784903, 0.0733434, 0.0765548, 0.0864064, 0.0576994, 0.074672, 0.0753979, 0.0675186, 0.0777926, 0.0443775, 0.0521498, 0.111018, 0.0488985, 0.16809, 0.120042, 0.0630913, 0.0746417, 0.0901611, 0.0912275, 0.0882979, 0.831512, 0.772018, 0.736871, 0.662523, 0.789239, 0.769392, 0.884519, 0.694376, 2.39895, 0.000619437, 0.035536, 1.21235, 0.853748, 0.836948, 0.90005, 0.43532, 0.792314, 0.899517, 0.973427, 0.572679, 0.120876, 0.632788, 0.353379, 1.08967, 0.913875, 0.0429964, 0.240725, 0.953859, 1.19309, 0.207425, 0.912075, 0.266776, 0.120212, 0.375472, 0.0353617, 0.0487849, 0.351826, 0.0457615, 0.0273081, 0.0214222, 0.180474, 0.0496175, 0.372876, 0.0276026, 0.0358908, 0.112242, 0.0303874, 0.227464, 0.37053, 0.0949199, 0.19379, 0.0417926, 0.0391096, 0.0418835, 0.513888, 0.0236398, 0.116223, 0.035385
4498.27,0.985367,0.00379528,10,1023,0,-4451.32,1.18544,-0.206611,1.02393,-1.81677,0.733115,-5.10218,-1.51143,0.594877,-1.24133,-0.246145,-0.231188,-0.509749,-0.735107,-0.0754761,0.740429,-0.458096,-0.0622858,-0.595223,0.0937401,0.0392056,0.294918,-0.262984,0.995147,0.0715812,0.228713,-0.733053,-0.332628,-0.874066,-0.472872,-0.200021,-1.434,-0.164624,-1.49511,0.74067,-0.426085,0.4577,2.76029,4.01297,0.370984,0.565504,0.322923,-4.27396,-3.46266,-3.22268,-3.11699,2.60949,-4.83414,-3.45002,6.1523,2.14226,4.01245,-3.41171,-2.08263,1.60999,-0.341378,-2.64224,-3.92226,-2.60414,-0.933016,-4.10296,0.877379,0.724873,1.60634,-0.391127,0.151157,-2.94946,-1.29027,-1.01921,-0.677621,-1.98842,-1.60139,-3.52797,-0.298299,-0.547742,-0.171541,-0.694355,0.658616,-3.42095,0.575474,-4.43616,-0.318425,-0.172139,-0.689281,-1.46457,3.10609,-1.68365,1.40025,0.0137352,0.0303937,0.0383213,0.0424118,0.93147,0.00789073,0.0307682,0.997876,0.894943,0.982232,0.0319313,0.110797,0.83341,0.415475,0.0664691,0.0194121,0.0688726,0.282313,0.0162551,0.706279,0.673679,0.832902,0.403446,0.537717,0.0497622,0.215808,0.265181,0.336792,0.120424,0.167788,0.0285267,0.425973,0.366388,0.45722,0.333065,0.658949,0.031647,0.640025,0.0117028,0.42106,0.457071,0.334193,-0.0645915,-0.463071,-0.0531607,-0.482806,0.239179,-0.137593,0.147802,0.891362
4507.71,0.979167,0.00379528,10,1023,0,-4452.99,-0.639162,-0.0322977,0.349252,-1.74271,0.7216,-4.2367,1.0495,0.407708,-1.40018,-0.359486,-0.434719,-0.490595,-0.178681,-0.0644489,0.640957,0.204186,0.529025,-0.00566385,-0.0677946,-0.0129757,0.834534,-0.0915859,0.14754,-0.372679,-0.007607,-0.596304,-0.122833,0.892396,1.15553,-0.307963,-0.6106,-0.267335,-0.698938,-0.274531,0.219056,1.1364,-0.913553,4.09924,0.383185,0.472667,0.718282,-2.91084,-5.00089,-4.71235,-3.2152,5.52459,-3.09786,-3.7419,4.27818,2.64393,3.10668,-4.47047,-1.64567,2.13941,-0.264322,-1.24955,-2.86543,-2.03344,-1.73178,-4.30491,2.30062,0.492127,2.05864,-0.21482,0.640784,-3.36119,-1.42869,-1.01659,-0.518066,-2.40979,-1.31641,-3.52321,-0.170555,-0.390887,0.188212,-0.474013,0.994234,-3.60754,0.973665,-3.13306,-0.291661,-0.260529,-0.459865,-0.576859,3.19705,-0.140794,1.57557,0.0516204,0.00668695,0.00890369,0.0385978,0.996028,0.0431957,0.02316,0.986322,0.933636,0.957168,0.0113125,0.161696,0.894675,0.434302,0.222778,0.0538893,0.115736,0.15036,0.0133222,0.908929,0.620607,0.886818,0.446501,0.654931,0.0335305,0.193303,0.265693,0.373304,0.082429,0.211416,0.0286589,0.457464,0.403504,0.546915,0.383667,0.729923,0.0264024,0.725849,0.041764,0.427597,0.435234,0.387018,-0.221204,-0.438583,-0.192022,-0.502034,-0.197191,0.157344,0.816259,-0.656189
4505.83,0.997948,0.00379528,10,1023,0,-4464.35,-0.295163,0.133244,0.0792526,-1.76488,1.02818,-4.61589,-0.224071,0.31231,-1.24041,-0.146363,-0.379809,-0.201932,0.348124,0.184896,0.799681,0.0720829,0.440518,-0.145058,-0.463724,0.0191055,0.323657,0.247522,0.19814,-0.433419,-0.19598,-1.02105,0.369144,0.53842,0.668564,0.823987,-1.88462,-1.20897,-0.283213,-2.01743,1.2143,1.83486,-0.0502963,5.62276,0.371273,0.571828,0.361626,-2.73437,-5.22272,-4.50631,-4.22105,3.41896,-3.91775,-3.77965,4.19745,2.37331,4.15117,-3.19113,-2.99792,3.14601,-0.245639,-1.67122,-2.28719,-3.96143,-1.66372,-3.90038,2.33534,0.357068,1.50404,-0.290445,0.682387,-2.33819,-1.45781,-0.711622,-0.51582,-2.27521,-1.73939,-3.97344,-0.15932,-0.189086,0.481998,-0.346606,1.26655,-2.75314,0.897067,-2.32848,-0.421484,-0.388255,-0.316325,-1.27016,3.37707,-0.399113,1.51441,0.0609755,0.00536369,0.0109185,0.0144708,0.968292,0.019498,0.022321,0.985189,0.91477,0.984498,0.0395008,0.0475198,0.958751,0.438897,0.158261,0.0921898,0.0186803,0.159264,0.0198329,0.911762,0.588331,0.818176,0.427895,0.664271,0.0880093,0.188803,0.329241,0.37383,0.0931967,0.14939,0.0184614,0.460254,0.452869,0.61822,0.414206,0.780151,0.0599097,0.710346,0.0887914,0.396162,0.404137,0.421572,0.297975,-0.681527,-0.437195,-0.102417,-0.729554,0.439124,0.663533,-0.0181884
4516.22,0.97904,0.00379528,10,1023,0,-4466.6,-0.370614,0.219043,0.720558,-1.56913,0.646625,-3.94131,-0.0229471,0.191675,-0.850478,-0.023775,0.0897101,-0.253947,-0.215082,0.220031,1.05801,-0.627493,-0.231717,-0.84825,-0.0407083,0.135191,0.491673,0.188501,0.501529,0.426511,-0.001235,-0.766787,-0.444777,-0.505832,-0.0365718,1.27205,-0.976471,-0.326024,0.0218452,1.1171,-0.77278,1.64229,1.60684,6.18023,0.3824,0.623896,0.511359,-3.55537,-3.85732,-3.26317,-2.13131,4.33242,-3.09419,-3.64828,4.87043,2.24765,3.4468,-4.56534,-2.63327,2.73754,-0.333783,-1.73704,-3.58126,-1.10298,-1.59781,-3.87309,1.53633,0.861282,2.23795,-0.270304,0.778115,-3.69808,-1.37056,-0.615997,-0.40441,-1.94875,-1.24593,-3.01292,0.0811611,-0.068892,0.65669,-0.199045,2.04165,-2.47172,0.531038,-2.50008,-0.374353,-0.0210783,-0.399355,-0.670806,2.51537,-0.969234,1.48045,0.0277771,0.0206876,0.0368564,0.106091,0.987035,0.0433474,0.0253751,0.992388,0.904448,0.969136,0.0102992,0.0670279,0.939206,0.41732,0.149689,0.0270864,0.249181,0.168288,0.0203705,0.822931,0.702929,0.903606,0.432832,0.685274,0.0241722,0.202529,0.350692,0.400253,0.124689,0.223406,0.0468456,0.520279,0.482784,0.658516,0.450402,0.885102,0.0778645,0.629725,0.0758526,0.40749,0.494731,0.401467,0.650477,-0.499328,-0.166715,0.0111708,0.57124,-0.395168,0.839798,0.821674
4513.03,0.996685,0.00379528,10,1023,0,-4473.38,-0.940308,0.170099,0.486464,-1.76779,0.337786,-4.28688,-0.423321,0.354903,-0.761736,0.0144657,0.147169,-0.157332,-0.0236624,0.283014,1.06331,-0.655872,-0.324733,-0.974396,-0.164487,-0.0556351,0.333566,0.282839,0.523806,0.0771986,-0.165583,-0.963074,0.557483,-0.613418,-0.106845,1.15437,-0.581893,-0.240299,0.131676,-0.678239,-0.0610438,1.16737,1.44989,5.19217,0.379169,0.478845,0.776661,-4.74125,-2.89958,-3.67328,-2.95431,2.8242,-4.01478,-2.7252,5.43139,2.58916,3.12141,-3.28546,-2.35394,3.0262,-0.248617,-2.91081,-4.35965,-2.40018,-1.19661,-3.92522,2.12912,0.666567,2.33876,-0.382914,0.735108,-2.76283,-1.33897,-0.560767,-0.474836,-2.56529,-1.27818,-3.81917,-0.170833,-0.18909,0.104332,-0.306356,1.46604,-2.52728,0.832871,-2.98468,-0.317395,-0.286677,-0.549276,-0.749543,2.48974,-0.65873,1.60234,0.00865218,0.0521745,0.0247642,0.0495334,0.94397,0.017727,0.0615026,0.995642,0.930161,0.957767,0.0360733,0.0867528,0.953744,0.438164,0.0516217,0.0126215,0.0831593,0.232079,0.0193558,0.893701,0.660734,0.912036,0.405424,0.675925,0.0593663,0.20768,0.36337,0.383472,0.0714059,0.217861,0.0214748,0.457395,0.452868,0.526059,0.424004,0.812455,0.0739677,0.696962,0.0481228,0.421311,0.428817,0.366032,0.89655,-0.451934,-0.186631,0.102268,-0.526762,-0.0474103,0.90665,1.12607
4496.81,0.880003,0.00379528,10,1023,0,-4455.06,-1.56071,0.133267,0.315666,-1.84036,0.457897,-4.24652,-1.43542,0.539541,-0.600679,0.33267,0.35669,-0.361239,0.0168349,0.371858,1.20898,-0.446789,-0.121494,-0.708738,-0.326227,-0.0917413,0.279978,0.266629,0.229727,-0.314765,-0.45506,-1.18599,0.62549,-0.552215,-0.25736,1.32139,-1.29155,-0.208417,0.295042,-0.957128,0.4555,1.84216,1.8722,4.33775,0.364856,0.555314,0.608778,-5.00916,-3.54419,-3.30189,-2.42812,2.90282,-4.60564,-5.04084,4.86655,2.67397,2.71022,-3.18372,-1.57344,1.79777,-0.548496,-2.82121,-4.35881,-1.37739,-1.0835,-3.94934,1.74223,0.546473,2.47816,-0.227494,0.668156,-2.78202,-1.58652,-0.721396,-0.430174,-2.52387,-1.51559,-4.2575,-0.00263085,-0.390736,0.467079,-0.315461,2.00179,-2.56581,0.917512,-3.44322,-0.404903,-0.324322,-0.34266,-1.10391,2.28315,-0.51121,1.46995,0.00663223,0.0280806,0.0355063,0.0810536,0.947986,0.00989641,0.00642676,0.992359,0.935473,0.937627,0.0397828,0.171726,0.857877,0.366213,0.0561887,0.012632,0.201428,0.252845,0.0189032,0.85097,0.633317,0.922597,0.443371,0.66109,0.0583037,0.169874,0.327086,0.394085,0.0742018,0.180112,0.01396,0.499342,0.40354,0.614692,0.421782,0.880985,0.0713714,0.714535,0.0309716,0.400135,0.419623,0.415164,0.804436,-0.78627,-0.12688,0.179615,-0.582679,0.277298,1.12146,1.13976
