generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,2,3,1
3000,2,3,1
4000,1,4,1
5000,1,2,1
6000,3,4,1
7000,1,2,1
8000,2,3,1
9000,2,3,1
10000,1,3,1
11000,2,4,1
12000,3,4,1
13000,1,3,1
14000,1,3,1
15000,1,3,1
16000,1,2,1
17000,2,4,1
18000,2,4,1
19000,3,4,1
20000,1,3,1
21000,3,4,1
22000,2,3,1
23000,1,2,1
24000,1,3,1
25000,1,2,1
26000,3,4,1
27000,2,4,1
28000,2,3,1
29000,3,4,1
30000,1,2,1
31000,1,4,1
32000,2,4,1
33000,1,3,1
34000,1,2,1
35000,3,4,1
36000,2,4,1
37000,1,3,1
38000,3,4,1
39000,2,4,1
40000,1,2,1
41000,3,4,1
42000,1,3,1
43000,2,4,1
44000,1,2,1
45000,1,3,1
46000,2,4,1
47000,3,4,1
48000,3,4,1
49000,2,4,1
50000,2,3,1
51000,1,3,1
52000,2,4,1
53000,1,4,1
54000,2,3,1
55000,3,4,1
56000,2,3,1
57000,1,3,1
58000,2,4,1
59000,2,3,1
60000,1,2,1
61000,3,4,1
62000,2,3,1
63000,2,3,1
64000,3,4,1
65000,1,2,1
66000,1,2,1
67000,1,4,1
68000,1,3,1
69000,2,3,1
70000,1,2,1
71000,1,4,1
72000,2,3,1
73000,1,2,1
74000,1,4,1
75000,3,4,1
76000,1,3,1
77000,3,4,1
78000,1,2,1
79000,1,4,1
80000,1,4,1
81000,1,4,1
82000,1,4,1
83000,2,3,1
84000,3,4,1
85000,2,3,1
86000,2,4,1
87000,1,3,0
88000,2,4,1
89000,1,4,1
90000,2,3,1
91000,3,4,1
92000,1,2,1
93000,1,4,1
94000,2,4,1
95000,2,3,1
96000,1,3,1
97000,3,4,1
98000,1,4,1
99000,3,4,1
100000,2,4,1
101000,1,3,1
102000,1,4,1
103000,1,4,1
104000,1,2,1
105000,1,2,1
106000,2,4,1
107000,2,3,1
108000,3,4,1
109000,1,2,1
110000,2,3,1
111000,1,4,1
112000,1,4,1
113000,1,2,1
114000,1,2,1
115000,2,3,1
116000,1,2,1
117000,1,3,1
118000,1,2,1
119000,3,4,1
120000,1,4,1
121000,3,4,1
122000,1,2,1
123000,1,3,1
124000,1,3,1
125000,1,4,1
126000,2,3,1
127000,1,3,1
128000,1,2,1
129000,1,2,1
130000,1,4,1
131000,3,4,1
132000,1,4,1
133000,1,2,1
134000,1,4,1
135000,3,4,1
136000,2,3,1
137000,2,3,1
138000,3,4,1
139000,3,4,1
140000,2,4,1
141000,2,3,1
142000,1,3,1
143000,1,4,1
144000,3,4,1
145000,1,4,1
146000,1,4,1
147000,1,4,1
148000,3,4,1
149000,1,4,1
150000,1,2,1
151000,1,2,1
152000,3,4,1
153000,2,3,1
154000,2,3,1
155000,3,4,1
156000,3,4,1
157000,2,4,1
158000,1,4,1
159000,1,3,1
160000,2,4,1
161000,2,3,1
162000,1,2,1
163000,2,4,1
164000,2,3,1
165000,2,4,1
166000,1,4,1
167000,3,4,1
168000,3,4,1
169000,1,3,1
170000,2,4,1
171000,1,2,1
172000,1,4,1
173000,2,4,0
174000,1,4,1
175000,1,3,1
176000,2,3,1
177000,1,4,1
178000,1,2,1
179000,2,4,1
180000,1,3,1
181000,2,3,1
182000,1,2,1
183000,1,3,1
184000,3,4,1
185000,1,3,1
186000,3,4,1
187000,2,3,1
188000,1,4,1
189000,3,4,1
190000,2,3,1
191000,3,4,1
192000,1,3,1
193000,2,4,1
194000,1,4,1
195000,2,3,1
196000,2,3,1
197000,2,3,1
198000,1,4,1
199000,3,4,1
200000,2,4,1
201000,3,4,1
202000,2,3,1
203000,1,2,1
204000,2,4,1
205000,2,4,1
