generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,pallidus,snodgrassi,0,0.032,0,0.005,0
1000,pallidus,snodgrassi,0,1.1709,1.84726,0.179045,0
2000,pallidus,snodgrassi,0,1.21006,2.72698,0.273901,0
3000,pallidus,snodgrassi,0,1.30019,0.748405,0.0127671,0
4000,pallidus,snodgrassi,0,1.08006,1.47533,0.183793,0
5000,pallidus,snodgrassi,0,1.04535,2.6669,0.280445,0
6000,pallidus,snodgrassi,0,1.1406,4.66831,0.36876,0
7000,pallidus,snodgrassi,0,1.10554,3.60679,0.0326142,0
8000,pallidus,snodgrassi,0,1.29126,4.24577,0.660731,0
9000,pallidus,snodgrassi,0,0.97576,3.67346,0.103308,0
10000,pallidus,snodgrassi,0,1.34752,3.81139,0.819821,0
11000,pallidus,snodgrassi,0,1.3543,3.10205,0.344046,0
12000,pallidus,snodgrassi,0,1.23437,1.93221,0.541347,0
13000,pallidus,snodgrassi,0,0.997448,2.35599,0.151874,0
14000,pallidus,snodgrassi,0,2.5257,-0.0944689,0.202785,0
15000,pallidus,snodgrassi,0,2.55104,-0.244892,0.0552353,0
16000,pallidus,snodgrassi,0,1.34263,1.65064,0.290008,0
17000,pallidus,snodgrassi,0,1.13192,2.77242,0.10273,0
18000,pallidus,snodgrassi,0,0.94824,2.49918,0.175004,0
19000,pallidus,snodgrassi,0,1.03552,3.65845,7.90848e-06,0
20000,pallidus,snodgrassi,0,1.1011,6.99715,0.0265884,0
21000,pallidus,snodgrassi,0,1.49069,8.58663,1.2998,0
22000,pallidus,snodgrassi,0,1.16241,8.00856,0.491269,0
23000,pallidus,snodgrassi,0,1.32781,1.27371,0.390325,0
24000,pallidus,snodgrassi,0,5.40972,-0.490023,0.72472,0
25000,pallidus,snodgrassi,0,1.00203,5.64933,0.26114,0
26000,pallidus,snodgrassi,0,1.13055,4.47891,0.277222,0
27000,pallidus,snodgrassi,0,1.1682,2.45339,0.192278,0
28000,pallidus,snodgrassi,0,1.25705,0.731685,0.755271,0
29000,pallidus,snodgrassi,0,1.19574,1.90657,0.299473,0
30000,pallidus,snodgrassi,0,4.01715,-0.178264,1.88559,0
31000,pallidus,snodgrassi,0,5.93411,-0.495062,1.40573,0
32000,pallidus,snodgrassi,0,4.60841,-0.676073,0.378857,0
33000,pallidus,snodgrassi,0,3.42465,-0.445099,0.0431313,0
34000,pallidus,snodgrassi,0,4.84294,-0.383643,0.194075,0
35000,pallidus,snodgrassi,0,4.94529,-0.431739,0.257085,0
36000,pallidus,snodgrassi,0,2.98619,-0.28278,0.282562,0
37000,pallidus,snodgrassi,0,5.85821,-0.477288,0.510965,0
38000,pallidus,snodgrassi,0,6.89754,-0.711234,1.11291,0
39000,pallidus,snodgrassi,0,3.41674,-0.228066,0.103184,0
40000,pallidus,snodgrassi,0,2.72512,-0.144098,0.282743,0
41000,pallidus,snodgrassi,0,7.69075,-0.663073,0.815698,0
42000,pallidus,snodgrassi,0,1.07544,5.2467,0.0621036,0
43000,pallidus,snodgrassi,0,1.01588,5.19586,0.0749535,0
44000,pallidus,snodgrassi,0,1.48216,5.75621,1.17384,0
45000,pallidus,snodgrassi,0,1.20707,2.45016,0.339034,0
46000,pallidus,snodgrassi,0,0.844153,2.81659,0.0173813,0
47000,pallidus,snodgrassi,0,1.00187,2.08065,0.192363,0
48000,pallidus,snodgrassi,0,1.1501,3.38647,0.102479,0
49000,pallidus,snodgrassi,0,1.16587,1.95183,0.195679,0
50000,pallidus,snodgrassi,0,1.28897,1.66286,0.146776,0
51000,pallidus,snodgrassi,0,1.34346,2.07709,0.785041,0
52000,pallidus,snodgrassi,0,1.06031,3.14937,0.182254,0
53000,pallidus,snodgrassi,0,1.20255,2.14672,0.17442,0
53000,perspectivus_1,NA,1.96643,23.8298,-7.06738,101.731,0
54000,pallidus,snodgrassi,0,1.35873,0.316857,0.676612,0
55000,pallidus,snodgrassi,0,1.1959,0.515502,0.0278289,0
56000,pallidus,snodgrassi,0,1.50004,0.973438,0.182986,0
57000,pallidus,snodgrassi,0,3.89775,-0.318509,0.907682,0
58000,pallidus,snodgrassi,0,6.32832,-0.532521,0.860838,0
59000,pallidus,snodgrassi,0,2.76362,-0.155226,0.0707196,0
60000,pallidus,snodgrassi,0,1.11735,4.32666,0.315302,0
61000,pallidus,snodgrassi,0,1.11855,4.02265,0.331791,0
62000,pallidus,snodgrassi,0,1.04309,3.93769,0.510688,0
63000,pallidus,snodgrassi,0,1.11196,3.72184,0.0765732,0
64000,pallidus,snodgrassi,0,1.01161,2.20974,0.573714,0
65000,pallidus,snodgrassi,0,1.34177,0.881044,0.116624,0
66000,pallidus,snodgrassi,0,1.14709,2.68828,0.176732,0
67000,pallidus,snodgrassi,0,2.82277,-0.231151,0.00149077,0
68000,pallidus,snodgrassi,0,1.79389,0.253965,0.0840506,0
69000,pallidus,snodgrassi,0,1.2022,2.13095,0.0789441,0
70000,pallidus,snodgrassi,0,4.46447,-0.349596,0.81931,0
