generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-13.7101,-256.25,1,0
10000,0,-13.1447,-27.9319,0.193714,0.507286
20000,0,-13.8771,-25.7156,0.41904,0.505091
30000,0,-12.9183,-30.3308,0.146324,0.508091
40000,0,-12.908,-26.0308,0.166462,0.43675
50000,0,-13.287,-26.9084,0.520609,0.51
60000,0,-13.2411,-26.2111,0.234796,0.51575
70000,0,-12.9158,-27.0821,0.148938,0.427
80000,0,-13.1784,-26.3143,0.057417,0.5025
90000,0,-13.9964,-26.0711,1.25053,0.431
100000,0,-13.9337,-25.7953,1.09461,0.509
110000,0,-14.3783,-26.3593,1.58894,0.496
120000,0,-13.6784,-27.4077,0.921065,0.45475
130000,0,-13.3419,-25.8861,0.339076,0.4695
140000,0,-13.5639,-26.5871,0.676304,0.52
150000,0,-13.7372,-27.9868,0.942544,0.497471
160000,0,-13.7942,-27.5513,0.575742,0.524
170000,0,-14.7634,-25.4491,1.83898,0.509
180000,0,-13.5653,-27.1266,0.210554,0.5106
190000,0,-13.2687,-25.9994,0.214212,0.538
200000,0,-12.9921,-26.7033,0.216892,0.421
210000,0,-12.9276,-27.5996,0.150192,0.445
220000,0,-12.7956,-26.4448,0.0299284,0.415
230000,0,-13.3414,-25.6819,0.534435,0.513
240000,0,-13.3358,-31.4343,0.487029,0.494
250000,0,-12.9199,-26.9432,0.14003,0.505
260000,0,-12.8572,-26.6148,0.0898889,0.51575
270000,0,-13.167,-27.6564,0.37328,0.372
280000,0,-13.0453,-26.5146,0.28852,0.437
290000,0,-12.9879,-26.7365,0.218375,0.438812
300000,0,-12.8575,-26.7468,0.128896,0.492
310000,0,-12.8938,-26.5513,0.13369,0.452429
320000,0,-14.4531,-26.4871,1.68454,0.448
330000,0,-14.8172,-25.6735,1.20678,0.521
340000,0,-12.9154,-28.5621,0.115438,0.378
350000,0,-14.0734,-27.1445,1.29286,0.466667
360000,0,-15.3192,-26.1685,1.24358,0.510444
370000,0,-13.5098,-28.2608,0.621005,0.492
380000,0,-15.5987,-26.1129,1.02804,0.513
390000,0,-12.7848,-27.519,0.0205165,0.524
400000,0,-12.9821,-27.6382,0.208592,0.43225
410000,0,-13.2963,-26.8705,0.54119,0.475111
420000,0,-13.1509,-28.2526,0.389624,0.5
430000,0,-15.3178,-26.6059,1.10516,0.5135
440000,0,-13.2307,-27.4525,0.479264,0.492
450000,0,-13.6951,-26.7115,0.874598,0.509154
460000,0,-12.9616,-25.5356,0.160444,0.514
470000,0,-12.8122,-26.8357,0.0369809,0.434
480000,0,-12.9854,-27.3263,0.236208,0.519
490000,0,-12.9281,-26.956,0.101046,0.493
500000,0,-13.622,-26.6614,0.149357,0.509
510000,0,-14.5169,-28.4215,0.982339,0.518
520000,0,-14.4933,-27.5789,0.292315,0.5138
530000,0,-13.4795,-25.7246,0.291621,0.493
540000,0,-13.0308,-26.7987,0.225757,0.5252
550000,0,-13.0098,-26.3995,0.2448,0.441
560000,0,-13.2031,-27.7033,0.0254892,0.525
570000,0,-16.9654,-27.4511,0.477202,0.466
580000,0,-14.2294,-26.3841,0.306241,0.5104
590000,0,-13.8071,-26.0234,0.282493,0.509
600000,0,-13.1512,-26.8607,0.389701,0.422
610000,0,-13.5417,-26.165,0.437505,0.509
620000,0,-12.9049,-26.0636,0.0404012,0.521
630000,0,-13.2397,-29.1262,0.459229,0.519
640000,0,-12.8331,-25.9837,0.0814331,0.475571
650000,0,-13.2256,-25.7847,0.48929,0.42
660000,0,-13.6974,-26.8265,0.870321,0.509143
670000,0,-13.4715,-28.0153,0.607278,0.529
680000,0,-14.6567,-27.9252,0.813362,0.516
690000,0,-15.6955,-27.8294,0.174443,0.499143
700000,0,-13.3424,-27.5083,0.337645,0.5015
710000,0,-13.5299,-26.7275,0.799435,0.464
720000,0,-12.8643,-27.6616,0.10858,0.450769
730000,0,-13.1626,-29.5175,0.342329,0.435
740000,0,-13.0015,-26.0392,0.24242,0.505
750000,0,-14.6586,-26.5568,0.93487,0.527
760000,0,-13.2845,-27.034,0.483402,0.464148
770000,0,-13.3145,-26.5415,0.475802,0.526111
780000,0,-13.1177,-30.7976,0.272774,0.388
790000,0,-13.9935,-25.8418,1.24661,0.381
800000,0,-14.3401,-25.9224,1.42657,0.512
810000,0,-13.0344,-26.0811,0.0334927,0.492
820000,0,-13.3585,-26.8448,0.0264876,0.475
830000,0,-13.369,-27.3542,0.638867,0.511
840000,0,-13.0571,-29.4564,0.23624,0.435
850000,0,-13.2627,-30.3019,0.531283,0.4225
860000,0,-13.2787,-26.9282,0.427696,0.5115
870000,0,-12.7745,-26.0687,0.0449572,0.432
880000,0,-12.9452,-26.437,0.216879,0.427
890000,0,-12.9015,-27.1221,0.156888,0.475875
900000,0,-13.1614,-29.1858,0.425183,0.458667
910000,0,-13.1176,-27.3469,0.0624959,0.52725
920000,0,-13.254,-29.646,0.513339,0.419
930000,0,-12.8006,-28.0279,0.021744,0.397
940000,0,-12.8761,-27.5828,0.126807,0.4196
950000,0,-13.2898,-26.1084,0.531881,0.488333
960000,0,-12.7726,-26.4057,0.0420315,0.438
970000,0,-12.9237,-26.1613,0.192323,0.4616
980000,0,-12.8059,-27.2177,0.0312253,0.414
990000,0,-12.7739,-27.6341,0.0286319,0.448
