species,lambda.bamm,mu.bamm,lambda.clads
pallidus,2.1471,0.37697,2.27202
hemaerodes,2.1471,0.37697,2.19661
sp-_nov-_Alcedo_1,2.20858,0.38335,2.49471
sp-_nov-_Darwin_1,2.1471,0.37697,1.98371
sp-_nov-_Darwin_2,2.1471,0.37697,2.05375
perrus_1,2.1471,0.37697,2.43027
sp-_nov-_Volcan_Wolf_1,2.1471,0.37697,2.50904
elaeodes,2.1471,0.37697,2.19829
sp-_nov-_Volcan_Wolf_3,2.1471,0.37697,2.16121
sp-_nov-_Volcan_Wolf_2,2.1471,0.37697,2.16226
sp_nov_CA,2.1471,0.37697,2.3424
Brantsnail,2.1471,0.37697,2.00129
albemarlensis,2.1471,0.37697,2.16295
simrothi_2,2.1471,0.37697,1.82381
tortuganus,2.1471,0.37697,1.932
simrothi,2.17948,0.38219,2.0858
sp-_nov-_Pinta_1,2.1471,0.37697,2.23103
sp-_nov-_Pinta_2,2.1471,0.37697,2.11325
pinzonensis,2.1471,0.37697,2.17329
alethorhytidus,2.1471,0.37697,1.90057
ochsneri,2.1471,0.37697,1.84181
darwini,2.1471,0.37697,1.57357
sculpturatus_2,2.1471,0.37697,1.97495
eos,2.1471,0.37697,2.03377
chato_black,2.1471,0.37697,2.1747
wolfi_2,2.14967,0.37848,1.89325
cf-_wolfi,2.1471,0.37697,1.97434
hirsutus,2.1471,0.37697,1.64855
reibischi,2.21862,0.46253,1.77649
little_Black_Garrapatero,2.20976,0.45567,1.7478
akamatus,2.1471,0.37697,1.72664
wolfi,2.14597,0.38342,1.94444
wolfi_3,2.1471,0.37697,2.02099
rugiferus,2.17213,0.41368,1.93866
sculpturatus,2.18283,0.39134,1.65185
sculpturatus_3,2.1471,0.37697,1.67174
SC20_07_01_01,2.1471,0.37697,1.75219
cf-_hirsutus,2.1471,0.37697,1.78904
tanneri,2.1471,0.37697,2.13454
sp-_nov-_pinzon_1,2.1471,0.37697,2.08924
rabidensis,2.29359,0.76182,1.83528
jacobi,2.1471,0.37697,1.76302
jacobinus,2.15387,0.37686,1.82545
snodgrassi,2.1471,0.37697,2.00891
approximatus,2.1471,0.37697,1.75358
caryonis,2.14672,0.37852,2.00891
ustulatus,2.14672,0.37852,2.10426
calvus,2.14672,0.37852,2.16355
cf-_nux,2.14672,0.37852,2.24776
cf-invalidus,2.14672,0.37852,2.42401
nux,2.14517,0.50423,2.09963
invalidus_2,2.14672,0.37852,1.78542
invalidus,2.14672,0.37852,1.85716
sulcatus,2.14672,0.37852,2.29765
Brown_guys,2.14672,0.37852,2.46865
rugulosus,2.14672,0.37852,2.16331
unifasciatus,2.1471,0.37697,1.78689
basiplicatus,2.17315,0.37746,1.56678
achatellinus,2.2365,0.58433,1.57035
cf-basiplicatus,2.19738,0.42832,1.53774
nuciformis,2.1471,0.37697,1.58624
canaliferus_2,2.1471,0.37697,1.49802
bauri,2.1471,0.37697,1.38697
amastroides,2.14489,0.37975,1.34281
nucula,2.14489,0.37975,1.2
perspectivus_1,2.14489,0.37975,1.41247
canaliferus,2.1471,0.37697,1.41864
chemnitzioides,2.18541,0.43695,1.69166
perspectivus,2.1471,0.37697,1.64047
SF15_02_01_01,2.1847,0.45108,2.00651
SF15_02_01_03,2.1847,0.45108,2.14599
ventrosus,2.1847,0.45108,1.8776
SF15_02_01_04,2.1847,0.45108,1.98533
