"","unique.df.spp.","unique.df.spp..1"
"1","hirsustus","hirsustus"
"2","ochnsneri","ochnsneri"
"3","eos","eos"
"4","tanneri","tanneri"
"5","reibischi","reibischi"
"6","wolfi","wolfi"
"7","akamatus","akamatus"
"8",NA,NA
"9","amastroides","amastroides"
"10","basiplicatus","basiplicatus"
"11","eschariferus","eschariferus"
"12","darwini","darwini"
"13","sculpturatus","sculpturatus"
"14","jacobinus","jacobinus"
"15","perspechvus","perspechvus"
"16","nuciformis","nuciformis"
"17","bauri","bauri"
"18","chemnitzioides","chemnitzioides"
"19","spp1","spp1"
"20","spp2","spp2"
"21","spp3","spp3"
"22","spp4","spp4"
"23","unifasciatus","unifasciatus"
"24","planospira","planospira"
"25","rabidensis","rabidensis"
"26","nux","nux"
"27","spp6","spp6"
"28","spp7","spp7"
"29","spp8","spp8"
"30","spp9","spp9"
"31","ustulatus","ustulatus"
"32","cavagnaroi","cavagnaroi"
"33","olla","olla"
"34","lycodus","lycodus"
"35","snodgrassi","snodgrassi"
"36","spp11","spp11"
"37","spp12","spp12"
"38","simrothi","simrothi"
"39","tortuganus","tortuganus"
"40","albermarlensis","albermarlensis"
"41","invalidus","invalidus"
"42","rugiferus","rugiferus"
"43","calvus","calvus"
"44","nucula","nucula"
"45","canaliferous","canaliferous"
"46","spp13","spp13"
"47","spp14","spp14"
"48","spp15","spp15"
"49","eschaeriferous","eschaeriferous"
"50","rugiferous","rugiferous"
"51","HI","HI"
"52","TA","TA"
